,sim,DiscountedCost,DiscountedQALY,LY,group
324,65,204741.1136,0.92056906,1.440211578,TDxD-Chemo
325,65,236807.462,1.006287201,1.587852367,TDxD-SG
326,66,377884.8608,1.305243611,2.213605542,Super_TDXd
327,66,87853.57665,0.46320959,0.857255372,Chemo-Chemo
328,66,179789.4519,0.611630294,1.245619085,Chemo-TDxd
329,66,182104.91,0.613941401,1.148422461,TDxD-Chemo
330,66,206567.5759,0.650897268,1.242977933,TDxD-SG
331,67,311685.0006,1.279506801,2.133459519,Super_TDXd
332,67,91039.61014,0.478394542,0.881816491,Chemo-Chemo
333,67,199964.5229,0.741892967,1.43372673,Chemo-TDxd
334,67,186463.5084,0.751957314,1.35229158,TDxD-Chemo
335,67,215092.5257,0.813811657,1.478769467,TDxD-SG
336,68,281284.442,1.36222486,2.159864433,Super_TDXd
337,68,95928.00332,0.565672119,0.987871381,Chemo-Chemo
338,68,161858.9918,0.740548264,1.360550244,Chemo-TDxd
339,68,188051.513,0.881509187,1.462522351,TDxD-Chemo
340,68,229827.7525,0.986734236,1.682959081,TDxD-SG
341,69,236147.4905,0.93090713,1.821698501,Super_TDXd
342,69,105169.5551,0.523777287,1.097759406,Chemo-Chemo
343,69,159888.9245,0.633703477,1.364906184,Chemo-TDxd
344,69,172530.1295,0.664217689,1.36303644,TDxD-Chemo
345,69,203957.6099,0.732006348,1.526308945,TDxD-SG
346,70,296325.3548,1.2636298,2.133838188,Super_TDXd
347,70,103146.9983,0.639015342,1.054862718,Chemo-Chemo
348,70,150961.6833,0.748329175,1.250999524,Chemo-TDxd
349,70,193413.566,0.823503958,1.442068338,TDxD-Chemo
350,70,239802.942,0.919720477,1.615270032,TDxD-SG
351,71,297773.7664,1.182920466,2.137261647,Super_TDXd
352,71,108878.2837,0.538340232,1.016659008,Chemo-Chemo
353,71,169381.0224,0.669642363,1.295851643,Chemo-TDxd
354,71,188337.6739,0.711593819,1.342777418,TDxD-Chemo
355,71,220250.362,0.806060891,1.54253404,TDxD-SG
356,72,387622.7967,1.121443645,2.125172939,Super_TDXd
357,72,110078.6594,0.457358443,0.960427735,Chemo-Chemo
358,72,212831.4495,0.615087564,1.381658495,Chemo-TDxd
359,72,296705.1012,0.845993672,1.671270797,TDxD-Chemo
360,72,331572.8586,0.929573801,1.89333235,TDxD-SG
361,73,303042.1603,1.232078674,2.04900223,Super_TDXd
362,73,111089.3198,0.593519913,1.031012993,Chemo-Chemo
363,73,191688.0777,0.775324869,1.388281026,Chemo-TDxd
364,73,184078.8912,0.721123311,1.300366307,TDxD-Chemo
365,73,223697.5312,0.799347443,1.453077912,TDxD-SG
366,74,382891.6471,1.174519845,2.305204246,Super_TDXd
367,74,110726.5025,0.490322006,1.080848488,Chemo-Chemo
368,74,201184.3964,0.629728053,1.413151456,Chemo-TDxd
369,74,244841.6449,0.735081631,1.546153183,TDxD-Chemo
370,74,280847.4512,0.795711051,1.691065267,TDxD-SG
371,75,359362.9912,1.177473553,2.197569552,Super_TDXd
372,75,106669.4602,0.487714812,1.023645232,Chemo-Chemo
373,75,193410.0381,0.597211411,1.360718903,Chemo-TDxd
374,75,223826.7892,0.703410183,1.418305149,TDxD-Chemo
375,75,238287.2675,0.703418364,1.418330064,TDxD-SG
376,76,329500.7987,1.284705649,2.159474113,Super_TDXd
377,76,90508.99814,0.468023604,0.871818801,Chemo-Chemo
378,76,143916.8154,0.559504508,1.066328874,Chemo-TDxd
379,76,171357.2029,0.650411141,1.180232696,TDxD-Chemo
380,76,205552.4387,0.726321657,1.348191295,TDxD-SG
381,77,356522.7122,1.095289851,2.285565834,Super_TDXd
382,77,101969.0995,0.462939771,1.008953706,Chemo-Chemo
383,77,159661.2223,0.547762671,1.21684175,Chemo-TDxd
384,77,195831.3241,0.603995352,1.344447093,TDxD-Chemo
385,77,241520.0719,0.686100908,1.545271244,TDxD-SG
386,78,248685.7773,1.076672579,2.061668867,Super_TDXd
387,78,85075.15402,0.421578656,0.848660242,Chemo-Chemo
388,78,123759.1486,0.522521675,1.068014266,Chemo-TDxd
389,78,147794.3498,0.604641147,1.255882288,TDxD-Chemo
390,78,181664.4826,0.693388721,1.446975906,TDxD-SG
391,79,314857.8402,1.33005167,2.322059992,Super_TDXd
392,79,93814.9914,0.419348882,0.83342851,Chemo-Chemo
393,79,148490.884,0.584156143,1.160668314,Chemo-TDxd
394,79,178717.0522,0.711604372,1.31974667,TDxD-Chemo
395,79,209261.0021,0.767732792,1.432555358,TDxD-SG
396,80,270372.5975,0.936483093,1.900119664,Super_TDXd
397,80,95690.15064,0.433246795,0.904156947,Chemo-Chemo
398,80,144683.8851,0.520856577,1.093788702,Chemo-TDxd
399,80,168202.943,0.555322011,1.203701124,TDxD-Chemo
400,80,189276.4813,0.601011598,1.302297632,TDxD-SG
401,81,255439.8159,1.022984612,1.892074897,Super_TDXd
402,81,101207.8485,0.565538308,1.030641726,Chemo-Chemo
403,81,149208.6861,0.647732293,1.216178625,Chemo-TDxd
404,81,172699.8868,0.669869499,1.30542286,TDxD-Chemo
405,81,231441.9009,0.816406691,1.639668476,TDxD-SG
406,82,434738.692,1.551879132,2.543694569,Super_TDXd
407,82,97325.30698,0.457885261,0.892104789,Chemo-Chemo
408,82,207139.2878,0.681512779,1.361089358,Chemo-TDxd
409,82,199374.5282,0.684918281,1.239060829,TDxD-Chemo
410,82,239269.6817,0.810210835,1.500904845,TDxD-SG
411,83,307548.7227,1.004723068,2.08700715,Super_TDXd
412,83,103722.9743,0.480835764,1.015114205,Chemo-Chemo
413,83,154849.0193,0.569470357,1.22078308,Chemo-TDxd
414,83,195786.0268,0.637417755,1.393432724,TDxD-Chemo
415,83,230540.7911,0.718247886,1.575878881,TDxD-SG
416,84,302271.4951,1.403784977,2.316896605,Super_TDXd
417,84,95804.98211,0.542075575,0.988275963,Chemo-Chemo
418,84,126738.9035,0.591578,1.096721502,Chemo-TDxd
419,84,166802.0572,0.7741923,1.354711908,TDxD-Chemo
420,84,211336.3548,0.873604902,1.564004767,TDxD-SG
421,85,298561.6114,1.321376973,2.054030048,Super_TDXd
422,85,114668.2111,0.650875763,1.084199823,Chemo-Chemo
423,85,179790.1752,0.825242236,1.404320383,Chemo-TDxd
424,85,195880.7974,0.842448021,1.38531011,TDxD-Chemo
425,85,226970.1104,0.953542969,1.588601786,TDxD-SG
426,86,374022.9994,1.36337546,2.332386293,Super_TDXd
427,86,110710.493,0.539556671,1.016405027,Chemo-Chemo
428,86,152307.1116,0.584665592,1.126340081,Chemo-TDxd
429,86,199792.0969,0.703467549,1.322258648,TDxD-Chemo
430,86,222963.31,0.766928071,1.477129928,TDxD-SG
431,87,388201.8844,1.484392107,2.327411795,Super_TDXd
432,87,109099.8894,0.596773731,0.996086886,Chemo-Chemo
433,87,152557.2783,0.652949441,1.139988733,Chemo-TDxd
434,87,228210.2035,0.848968568,1.436686971,TDxD-Chemo
435,87,271202.8695,0.921312069,1.618353492,TDxD-SG
436,88,351617.2298,1.382435924,2.215530995,Super_TDXd
437,88,91171.61555,0.555458215,0.921047443,Chemo-Chemo
438,88,185982.5078,0.754970246,1.305932631,Chemo-TDxd
439,88,196279.8236,0.777309328,1.31262655,TDxD-Chemo
440,88,229921.1308,0.840818523,1.432871483,TDxD-SG
441,89,328579.119,1.208555398,2.09441971,Super_TDXd
442,89,92187.92662,0.424204909,0.880570741,Chemo-Chemo
443,89,190939.1674,0.59789531,1.376519198,Chemo-TDxd
444,89,194881.8516,0.682772401,1.307963885,TDxD-Chemo
445,89,212524.1236,0.721942108,1.418460454,TDxD-SG
446,90,236322.7188,0.99664344,1.913710997,Super_TDXd
447,90,105017.7951,0.499114909,1.000421514,Chemo-Chemo
